Month,Rent,Food,Transport,Utilities,Shopping,Entertainment,Healthcare,Other,Total
January,18000,6500,2500,2200,4500,2000,1200,1800,38700
February,18000,6200,2300,2100,3500,1800,800,1500,36200
March,18000,7000,2800,2300,5000,2500,1500,2000,43100
April,18000,6800,2600,2200,4200,1800,1000,1700,38300
May,18000,7200,3000,2400,5500,2800,1200,2200,44300
June,18000,6500,2700,2100,3800,2000,900,1600,39600
July,18000,7500,2900,2500,6000,3000,1400,2300,45600
August,18000,6800,2600,2200,4500,2200,1000,1800,39100
September,18000,6400,2400,2100,3500,1800,800,1500,36500
October,18000,7000,2800,2300,5000,2500,1200,2000,42800
November,18000,7600,3000,2400,6500,3200,1500,2500,46700
December,18000,8500,3200,2600,8000,4500,1800,3000,51600
